Corre;Año; Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de Cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (Peso de cada cabeza);Carne y Hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio;;;
211;2023;1;1;12;4;2;1;18;2,970;30;1.65;17;8;25;2;0;1;1;;;
212;2023;1;1;12;4;2;2;11;1,815;18;1.65;11;5;15;1;0;1;1;;;
213;2023;1;1;12;4;3;1;10;475;5;0.48;3;0;3;1;1;0;0;;;
214;2023;1;1;12;4;3;2;12;1,980;20;1.65;12;1;13;2;2;0;0;;;
215;2023;1;1;12;4;4;1;9;428;4;0.48;3;0;3;1;1;0;0;;;
216;2023;1;1;12;4;4;2;5;238;2;0.48;1;0;2;0;0;0;0;;;
217;2023;1;1;12;6;1;1;10;7,050;71;7.05;35;3;38;9;6;4;1;;;
218;2023;1;1;12;6;1;2;8;4,800;48;6.00;24;2;26;6;3;2;0;;;
219;2023;1;1;12;6;1;4;8;2,280;23;2.85;12;1;13;3;2;1;0;;;
220;2023;1;1;12;6;1;5;6;3,414;34;5.69;17;2;19;5;3;2;0;;;
221;2023;1;1;12;6;2;1;8;1,320;13;1.65;8;4;11;1;0;0;1;;;
222;2023;1;1;12;6;2;2;8;1,320;13;1.65;8;4;11;1;0;0;1;;;
223;2023;1;1;12;6;3;1;30;1,425;14;0.48;8;1;9;2;2;0;0;;;
224;2023;1;1;12;6;3;2;20;950;10;0.48;6;1;6;1;1;0;0;;;
225;2023;1;1;12;6;4;1;8;380;4;0.48;2;0;3;0;0;0;0;;;
226;2023;1;1;12;6;4;2;10;475;5;0.48;3;0;3;1;1;0;0;;;
227;2023;1;1;12;7;1;1;61;43,005;430;7.05;215;19;234;54;34;22;4;;;
228;2023;1;1;12;7;1;5;49;27,881;279;5.69;139;12;152;39;22;14;3;;;
229;2023;1;1;12;7;2;1;32;5,280;53;1.65;31;14;45;4;0;1;2;;;
